Block,gen[B],kill[B],in[B],out[B]
B74,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B75,{'D26'},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B76,{'D27'},{'D25'},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B77,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B78,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B79,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B80,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B81,{'D28'},{'D29'},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B82,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B83,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B84,{'D29'},{'D28'},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B85,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B86,{},{},"{'D24', 'D17', 'D3', 'D10', 'D7', 'D21', 'D8', 'D18', 'D25', 'D16', 'D31', 'D27', 'D5', 'D12', 'D4', 'D29', 'D28', 'D20', 'D6', 'D19', 'D1', 'D15', 'D22', 'D9', 'D30', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B87,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B88,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B89,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
B90,{},{},"{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}","{'D24', 'D17', 'D4', 'D3', 'D10', 'D7', 'D21', 'D29', 'D28', 'D8', 'D18', 'D20', 'D6', 'D25', 'D19', 'D1', 'D16', 'D31', 'D15', 'D27', 'D22', 'D9', 'D30', 'D5', 'D12', 'D26', 'D23'}"
