Block,gen[B],kill[B],in[B],out[B]
B67,{},{},"{'D14', 'D7', 'D6', 'D13', 'D9', 'D12', 'D11', 'D3', 'D5', 'D8', 'D4', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B68,{},{},"{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B69,{},{},"{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B70,{},{},"{'D14', 'D7', 'D6', 'D13', 'D9', 'D12', 'D11', 'D3', 'D5', 'D8', 'D4', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B71,{},{},"{'D14', 'D7', 'D6', 'D13', 'D9', 'D12', 'D11', 'D3', 'D5', 'D8', 'D4', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B72,{},{},"{'D14', 'D7', 'D6', 'D13', 'D9', 'D12', 'D11', 'D3', 'D5', 'D8', 'D4', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B73,{},{},"{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B74,{},{},"{'D14', 'D7', 'D6', 'D13', 'D9', 'D12', 'D11', 'D3', 'D5', 'D8', 'D4', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B75,{},{},"{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B76,{},{},"{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B77,{},{},"{'D14', 'D7', 'D6', 'D13', 'D9', 'D12', 'D11', 'D3', 'D5', 'D8', 'D4', 'D10'}","{'D12', 'D14', 'D7', 'D6', 'D11', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B78,"{'D11', 'D12', 'D13'}","{'D17', 'D15', 'D20', 'D18', 'D19'}","{'D14', 'D7', 'D6', 'D13', 'D9', 'D12', 'D11', 'D3', 'D5', 'D8', 'D4', 'D10'}","{'D12', 'D14', 'D7', 'D11', 'D6', 'D8', 'D3', 'D5', 'D13', 'D4', 'D9', 'D10'}"
B79,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B80,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B81,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B82,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B83,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B84,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B85,{},{},"{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
B86,{},{},"{'D7', 'D18', 'D17', 'D15', 'D3', 'D21', 'D5', 'D8', 'D4', 'D10', 'D14', 'D6', 'D20', 'D16', 'D13', 'D9', 'D12', 'D11', 'D19'}","{'D14', 'D7', 'D6', 'D20', 'D18', 'D16', 'D13', 'D9', 'D17', 'D12', 'D15', 'D11', 'D3', 'D21', 'D5', 'D8', 'D4', 'D19', 'D10'}"
